ENCFF486ADH_PTBP1	ENCFF983TGB_PTBP1	ENCFF138XJC_FUS	ENCFF169XEG_FUS	ENCFF020XNK_U2AF2	ENCFF298TSM_U2AF2	ENCFF703PUD_PCBP1	ENCFF793CAH_PCBP1	ENCFF714YYN_SRSF1	ENCFF801DDP_SRSF1	ENCFF078KLK_HNRNPC	ENCFF682EBX_HNRNPC	ENCFF196EOX_HNRNPA1	ENCFF786LGW_HNRNPA1	ENCFF758ALR_HNRNPL	ENCFF888EAZ_HNRNPL
chr1_+_25823019_25823128_25823238_25823323_25823644_25823748	0.13	0.09	0.02	0.02	0.02	0.04	0.04	0.15	0.11	0.01	0.02	0.06	0.13	0.1	0.11	0.14
chr1_+_28407410_28407463_28457832_28457855_28459085_28459258	0.46	0.48	0.44	0.71	0.1	0.12	0.18	0.32	0.72	0.71	0.29	0.14	0	0.27	0.23	0.21
chr1_+_28407410_28407463_28457832_28457859_28459085_28459258	0.35	0.32	0.33	0.5	0.11	0.11	0.15	0.21	0.48	0.45	0.42	0.14	0.2	0.16	0.09	0
chr1_+_28508830_28508905_28516725_28516867_28529858_28529939	0.9	0.84	0.87	0.88	0.69	1	0.94	0.86	0.87	0.86	0.8	0.86	0.92	1	0.96	0.95
chr1_+_28529858_28529939_28530523_28530573_28531803_28531818	0.17	0.16	0.12	0.1	0.04	0	0.27	0.16	0.03	0.02	0.1	0.15	0	0.12	0.08	0.09
chr1_+_28560633_28560732_28561113_28561260_28561346_28561398	0.03	0.06	0.03	0.05	0.04	0	0.05	0	0	0.01	0.08	0.1	0.07	0.06	0.1	0
chr1_+_28738259_28738338_28742403_28743986_28768929_28769125	0.94	0.92	1	0.97	0.81	0.85	0.96	0.98	0.83	0.86	0.97	0.9	1	0.96	0.99	0.99
chr1_+_29053164_29053312_29060422_29060484_29064982_29065158	0.14	0.08	0.36	0.42	0.26	0.32	0.33	0.29	0.78	0.67	0.58	0.67	0.69	0.65	0.38	0.35
chr1_+_29064982_29065158_29097807_29097935_29109336_29109346	1	0.95	0.98	0.97	0.65	0.67	1	0.94	0.96	0.92	0.91	0.84	0.91	0.9	0.93	0.92
chr1_+_31310044_31310164_31318167_31318236_31319109_31319166	0.07	0.08	0.25	0.17	0.07	0	0.08	0.16	0.12	0.22	0.11	0.06	0.09	0.06	0.12	0.09
chr1_+_31585440_31585485_31585753_31585876_31586710_31586755	0.83	0.87	0.88	0.94	0.74	0.59	0.86	0.83	0.44	1	0.78	0.86	0.97	0.88	0.94	0.94
chr1_+_32030298_32030422_32031524_32031640_32033188_32033334	1	0.98	0.99	1	0.98	0.97	0.98	0.98	0.96	0.96	0.93	0.94	0.99	0.97	0.98	1
chr1_+_32224410_32224475_32226171_32226530_32228499_32228609	0.98	0.97	0.96	0.97	0.94	0.97	0.97	0.97	0.96	0.96	0.98	0.97	0.98	0.97	0.99	0.97
chr1_+_36224443_36224505_36259382_36259484_36282533_36282700	0.96	0.91	0.98	0.98	0.81	0.96	0.92	0.95	0.95	0.95	0.95	0.95	0.93	0.96	0.92	0.97
chr1_+_37795737_37795846_37796744_37796820_37799567_37800221	0.61	0.89	0.97	0.93	0.59	0.41	0.85	0.86	0.74	0.82	0.93	0.75	0.86	0.94	1	0.95
chr1_+_39463612_39463686_39465095_39465112_39468615_39468732	0.68	0.69	0.46	0.49	0.22	0.33	0.62	0.51	0.74	0.73	0.41	0.42	0.65	0.5	0.28	0.26
chr1_+_39479798_39480009_39480920_39481030_39484601_39484730	0.03	0.04	0.08	0.05	0.08	0.05	0.03	0.03	0.08	0.11	0.01	0	0	0.13	0	0.01
chr1_+_40766596_40766703_40766918_40766974_40769356_40769415	0.12	0.09	0.11	0.16	0.09	0.16	0.08	0.09	0.1	0.04	0.08	0.04	0.05	0.03	0.21	0.21
chr1_+_41006051_41006094_41007449_41007545_41008659_41008714	0.87	0.93	0.89	0.92	0.89	0.95	0.96	0.89	0.84	0.91	0.98	0.94	0.86	0.85	0.95	0.9
chr1_+_42693490_42693523_42696199_42696288_42696642_42696944	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1
chr1_+_45013136_45013215_45013292_45013354_45013594_45013703	0.97	0.98	0.99	0.97	0.79	0.95	0.99	0.95	0.95	0.97	0.99	0.97	0.93	1	0.96	0.99
chr1_+_45551068_45551155_45552436_45552563_45561789_45561878	0.09	0.14	0.24	0.35	0.17	0.31	0.24	0.26	0.14	0.17	0.17	0.24	0.19	0.2	0.21	0.24
chr1_+_45551068_45551155_45561789_45561878_45566569_45566688	0.98	0.94	0.95	0.94	0.88	0.6	0.94	0.95	0.95	0.95	0.94	0.96	0.97	0.96	0.97	0.97
chr1_+_45568147_45568177_45568485_45568684_45568927_45568999	0.91	0.86	0.93	0.9	0.83	0.82	0.94	0.94	0.84	0.82	0.8	0.76	0.91	0.9	0.87	0.7
chr1_+_45591223_45591270_45602255_45602365_45604936_45604965	0.98	0.98	0.98	0.98	1	1	0.95	0.99	0.98	0.99	0.99	1	1	0.97	0.97	0.98
chr1_+_45616701_45616703_45617463_45617591_45618061_45618213	0.99	0.99	1	1	0.98	0.98	0.98	0.99	0.98	0.97	0.97	0.99	0.99	1	1	1
chr1_+_45688196_45688275_45690974_45691110_45693204_45693845	0.72	0.8	0.83	0.9	0.52	0.55	0.94	0.93	0.98	0.95	0.66	0.7	0.93	0.79	0.84	0.83
chr1_+_46303709_46303820_46309101_46309127_46310155_46310316	0.98	0.97	0.99	0.99	0.93	0.94	0.99	0.99	0.98	0.99	0.97	0.98	1	0.98	0.98	0.99
chr1_+_47372955_47373107_47374909_47374985_47375197_47375293	1	0.99	1	1	0.96	0.96	0.99	0.99	0.99	1	0.98	0.98	1	1	1	1
chr1_+_51651991_51652041_51669434_51669512_51714003_51714079	0.81	0.77	0.7	0.82	0.85	0.71	0.86	0.73	0.9	0.87	0.64	0.91	0.68	0.69	0.83	0.78
chr1_+_51746710_51746757_51748369_51748398_51750145_51750195	0.95	0.99	0.98	0.97	0.94	0.95	0.97	0.94	0.93	0.95	0.87	0.9	0.98	0.96	0.95	0.99
chr1_+_51750154_51750195_51756320_51756358_51760690_51760740	0.32	0.29	0.65	0.69	0.89	0.9	0.87	0.9	0.77	0.79	0.89	0.87	0.63	0.54	0.48	0.52
chr1_+_52056332_52056379_52059835_52059901_52064825_52064938	0.93	0.91	0.93	0.9	0.93	0.89	0.94	0.97	0.91	0.93	0.92	0.97	0.91	0.92	0.95	0.95
chr1_+_52064825_52064938_52083340_52083541_52086112_52086171	0.88	0.89	0.81	0.9	0.96	0.9	0.87	0.9	0.92	0.9	0.85	0.87	0.95	0.95	0.89	0.82
chr1_+_53027978_53028071_53038917_53039046_53047858_53047937	0.94	0.93	0.98	0.97	0.89	0.96	0.98	0.96	0.99	0.97	0.95	0.97	0.97	0.98	0.97	0.93
chr1_+_70228465_70228555_70231095_70231975_70232268_70232375	0.03	0.04	0.21	0.11	0.1	0.11	0.06	0.07	0.02	0.08	0.15	0.11	0.12	0.09	0.06	0.18
chr1_+_70228465_70228555_70231859_70231975_70232268_70232375	0.04	0.07	0.12	0.09	0.12	0.16	0.07	0.06	0.03	0.04	0.02	0.07	0.04	0.07	0.09	0.17
chr1_+_74736542_74736622_74738690_74738788_74748751_74748822	1	0.96	1	0.97	0.84	0.75	0.96	0.95	0.94	0.89	1	0.98	0.98	0.96	0.82	0.88
chr1_+_75724780_75724817_75728401_75728488_75732644_75732741	0.94	0.93	0.95	0.9	1	1	0.98	0.98	0.46	0.5	0.84	0.83	0.83	0.89	0.93	0.81
chr1_+_75786228_75786274_75786700_75786797_75787497_75787604	0.08	0.03	0.14	0.1	0.01	0	0.1	0.1	0.07	0.12	0.05	0.06	0.05	0.05	0.07	0.08
chr1_+_92832086_92832117_92833389_92833458_92833545_92833660	1	0.99	1	1	0.96	0.97	1	1	1	1	0.99	1	0.99	1	1	1
chr1_+_98661862_98661911_98662697_98662816_98684885_98685067	0.17	0.15	0.27	0.29	0.55	0.5	0	0.24	0.4	0.37	0.41	0.12	0.35	0.17	0.18	0.15
chr1_+_108692341_108692867_108693590_108693642_108695702_108695770	0.1	0.04	0.15	0.17	0.03	0.01	0.02	0.03	0.01	0.05	0.13	0.13	0.07	0.06	0.07	0.04
chr1_+_109629327_109629490_109629796_109629916_109630233_109630406	0.97	0.99	0.91	0.89	0.74	0.48	0.86	0.86	0.99	1	0.86	0.9	0.95	0.93	0.99	0.97
chr1_+_147242677_147242830_147252623_147252735_147254870_147254976	0.91	0.91	0.97	0.89	1	1	0.93	0.95	0.92	0.98	0.87	0.94	1	0.91	0.84	0.9
chr1_+_147268782_147268878_147270932_147271005_147272171_147272281	0.94	0.92	0.95	0.95	0.73	0.83	0.93	0.89	0.85	0.88	0.78	0.82	0.95	0.85	0.89	0.89
chr1_+_150325751_150325881_150327557_150327652_150328320_150328466	0.12	0.13	0.15	0.18	0.03	0.04	0.07	0.06	0.03	0.07	0.17	0.16	0.21	0.13	0.22	0.24
chr1_+_151027233_151027327_151028786_151028944_151033806_151033837	0.83	0.73	0.52	0.61	0.1	0.02	0.5	0.41	0.79	0.82	0.72	0.77	0.54	0.44	0.52	0.62
chr1_+_151254769_151254808_151262161_151262301_151263914_151264028	0.97	0.96	0.97	0.97	0.99	0.95	0.98	0.96	0.91	0.88	0.93	0.91	0.93	0.97	0.97	0.97
chr1_+_153760827_153760918_153761020_153761109_153761570_153761676	0.29	0.26	0.14	0.23	0.07	0	0	0.06	0	0.07	0.12	0.11	0.21	0.39	0.21	0.5
chr1_+_154268760_154268954_154269362_154269412_154270200_154270564	0.33	0.08	0.31	0.18	0.09	0.03	0.11	0.16	0.15	0.49	0.09	0	0.21	0.43	0.64	0.8
chr1_+_155131339_155131634_155133503_155133568_155133730_155133780	0.9	0.86	0.95	0.97	0.71	0.85	0.86	0.84	0.93	0.92	0.85	0.87	0.92	0.92	0.97	0.95
chr1_+_155136299_155136376_155136828_155136951_155137561_155137596	0.4	0.39	0.38	0.34	0.23	0.29	0.36	0.46	0.78	0.68	0.46	0.41	0.6	0.55	0.83	0.62
chr1_+_155136299_155136376_155137561_155137722_155137979_155138098	0.83	0.88	0.72	0.78	0.27	0.17	0.97	1	0.5	0.72	0.8	0.73	0.88	0.76	0.43	0.54
chr1_+_155136828_155136951_155137561_155137722_155137979_155138098	0.96	0.91	0.91	1	0.7	0.6	1	1	1	0.97	0.87	0.82	0.87	0.97	0.84	0.83
chr1_+_155210548_155210627_155212127_155212219_155212385_155212567	0.95	0.91	0.88	0.93	0.72	0.76	0.71	0.81	0.87	0.87	0.87	0.71	0.95	0.8	0.85	0.83
chr1_+_155709801_155709824_155717006_155717128_155721517_155721618	0.85	0.91	0.91	0.9	0.92	0.94	0.97	0.9	0.94	0.95	0.93	0.89	0.96	0.97	0.89	0.93
chr1_+_155717006_155717128_155721517_155721618_155725382_155725411	0.99	0.93	0.98	0.96	0.89	0.92	0.97	0.98	0.77	0.77	0.97	0.94	0.98	0.98	0.97	0.95
chr1_+_155731944_155732033_155736946_155737063_155738157_155738258	0.98	0.99	0.97	0.98	1	1	0.98	0.96	0.96	0.94	0.93	0.91	0.99	1	0.97	0.96
chr1_+_161159537_161159678_161160366_161160506_161160620_161160992	0.15	0.43	0.5	0.92	0.38	0.5	0.58	0.53	0.79	0.73	0.39	0.56	0.94	0.52	0.73	0.82
chr1_+_161202409_161202480_161203437_161203543_161206407_161206593	0.95	0.99	0.97	0.98	0.95	0.99	0.96	1	0.98	0.98	0.86	0.95	0.9	0.97	0.98	0.98
chr1_+_161340594_161340655_161356677_161356840_161362329_161362433	0.94	0.93	0.87	0.89	0.76	0.79	0.86	0.9	0.89	0.87	0.85	0.85	0.84	0.82	0.93	0.91
chr1_+_162561722_162561777_162562473_162562584_162566012_162566348	0.11	0.05	0.04	0.04	0.02	0.04	0.01	0	0.06	0.08	0.09	0.17	0	0.03	0.05	0.06
chr1_+_162590323_162590511_162592732_162592782_162597792_162597858	0.21	0.22	0.59	0.56	0.03	0.29	0.48	0.47	0.44	0.5	0.16	0.16	0.26	0.59	0.41	0.49
chr1_+_162590323_162590511_162592735_162592782_162597792_162597858	0.04	0.06	0.26	0.16	0.09	0.25	0.21	0.22	0.18	0.21	0.13	0.08	0.11	0.17	0.26	0.14
chr1_+_171587073_171587221_171587648_171587751_171588379_171588505	0.91	0.94	0.98	0.96	0.86	0.85	0.98	0.97	0.92	0.96	0.94	0.93	0.95	0.93	1	1
chr1_+_171787863_171787930_171790452_171790616_171792017_171792235	0.76	0.68	0.83	0.97	0.68	0.91	0.88	1	0.92	0.95	0.89	0.92	0.95	0.78	0.82	0.8
chr1_+_172575518_172575623_172577539_172577559_172577764_172577819	0.86	0.96	0.79	0.87	0.35	0.3	0.33	0.15	0.62	0.57	0.33	0.35	0.63	0.48	0.65	0.72
chr1_+_180834874_180835045_180836522_180836716_180863708_180863874	0.91	0.91	0.93	0.89	0.91	0.88	0.87	1	0.95	0.97	1	0.97	1	1	1	0.92
chr1_+_182854041_182854178_182855577_182855713_182856532_182856572	0.05	0.08	0.05	0.06	0.03	0.04	0.08	0.04	0.04	0.04	0.06	0.03	0.06	0.12	0.12	0.12
chr1_+_183545966_183546337_183547103_183547252_183549208_183549288	0.44	0.41	0.1	0.41	0.08	0.04	0.07	0.07	0.04	0	0.14	0.12	0.12	0.12	0.02	0.16
chr1_+_186406083_186406268_186411811_186411893_186417544_186417654	0.05	0.06	0.2	0.1	0.18	0.06	0.08	0.05	0.09	0.04	0.1	0.03	0.07	0.21	0.07	0.22
chr1_+_203015960_203016140_203017756_203017919_203018481_203018561	0.05	0.03	0.03	0.06	0.1	0.03	0.02	0.02	0.01	0.01	0	0.04	0.08	0.04	0.04	0.04
chr1_+_203833791_203833853_203833937_203834102_203837966_203838064	0.03	0.03	0.05	0.03	0.07	0.03	0.08	0.03	0.09	0.04	0.08	0.09	0.03	0.1	0.08	0.08
chr1_+_207767013_207767195_207767607_207767651_207767779_207767823	0.07	0.04	0.02	0.04	0.01	0.02	0.02	0.02	0.3	0.31	0.01	0.01	0.02	0.03	0.03	0.02
chr1_+_207767013_207767195_207767779_207767823_207770321_207770362	0.71	0.72	0.93	0.93	0.59	0.61	0.85	0.86	0.94	0.89	0.96	0.96	0.96	0.9	0.73	0.6
chr1_+_207785656_207785682_207790253_207790345_207793519_207793608	0.31	0.31	0.29	0.3	0.02	0.02	0.31	0.29	0.36	0.38	0.16	0.17	0.25	0.27	0.28	0.28
chr1_+_211304083_211304140_211312355_211312487_211312720_211312804	0	0.19	0.52	0.71	0.47	0.37	0.24	0.19	0.07	0.08	0.34	0.17	0.33	0.25	0.37	0.23
chr1_+_214281222_214281427_214305187_214305250_214314762_214314872	0.9	0.94	0.98	0.93	0.96	0.94	0.98	0.96	0.93	0.91	0.89	1	0.9	0.98	0.95	0.96
chr1_+_219179147_219179246_219193082_219193251_219210532_219210647	0.89	0.91	0.93	0.91	0.83	0.96	0.87	0.89	0.93	0.96	0.91	0.57	1	0.91	0.65	0.89
chr1_+_224365879_224365991_224371283_224371423_224375795_224375998	0.97	1	0.99	0.97	0.99	0.96	0.97	0.96	1	0.96	1	0.96	1	1	0.99	0.95
chr1_+_228147621_228147699_228148371_228148456_228148665_228148691	0.97	0.93	0.9	0.97	0.86	0.88	0.89	0.94	0.91	0.91	0.83	0.73	1	0.92	0.95	0.88
chr1_+_228735479_228736004_228737673_228737731_228743285_228746664	0.91	0.96	0.84	0.87	0.7	0.56	0.9	0.94	0.81	0.94	0.97	0.94	1	0.98	0.94	0.86
chr1_+_231241216_231241456_231250961_231251143_231260507_231260653	0.93	0.94	0.88	0.97	0.82	0.9	0.94	0.94	0.93	0.94	0.91	0.96	0.92	0.95	1	0.94
chr1_+_232950640_232950744_232955557_232955719_232956347_232956443	0.7	0.79	0.74	0.84	0.94	0.7	0.79	0.84	0.67	0.75	0.59	0.8	0.73	0.74	0.81	0.77
chr1_+_235328570_235328778_235335242_235335334_235341708_235341778	0.95	0.88	0.93	0.96	0.81	0.86	0.85	0.95	0.95	0.98	0.93	0.96	0.91	0.82	0.94	0.97
chr1_+_235380019_235380149_235401503_235401587_235414433_235414618	0.88	0.85	0.96	0.97	0.81	0.79	0.89	0.96	0.9	0.88	0.83	0.69	0.84	0.9	0.9	0.97
chr1_+_236542761_236542787_236542915_236543040_236543560_236543648	0.32	0.35	0.39	0.37	0.03	0.02	0.45	0.45	0.48	0.59	0.33	0.21	0.32	0.25	0.69	0.7
chr1_+_244686597_244686669_244689249_244689342_244691879_244691922	0.74	0.75	0.87	0.89	0.66	0.52	0.89	0.82	0.79	0.73	0.92	1	1	0.89	0.81	0.72
chr1_+_244835659_244835756_244841944_244842058_244842195_244842258	0.66	0.69	0.59	0.56	0.31	0.15	0.83	0.78	0.25	0.32	0.71	0.61	0.55	0.54	0.84	0.77
chr1_-_1655369_1655484_1657256_1657302_1657375_1657498	0.13	0.18	0.35	0.23	0.02	0	0.2	0.17	0.13	0.08	0.26	0.1	0	0.13	0.19	0.18
chr1_-_1721596_1721711_1722588_1722634_1722708_1722831	0.08	0.17	0.11	0.17	0.01	0.01	0.14	0.09	0.07	0	0.11	0.12	0.04	0.1	0.04	0.16
chr1_-_1825397_1825499_1839190_1839238_1890820_1890836	0.83	0.84	0.88	0.85	0.81	0.78	0.77	0.86	0.91	0.85	0.78	0.81	0.7	0.9	0.76	0.88
chr1_-_8557418_8557523_8614561_8614686_8624310_8624380	0.74	0.73	0.6	0.54	0.46	0.33	0.58	0.56	0.76	0.85	0.78	0.79	0.73	0.7	0.62	0.62
chr1_-_9735885_9736042_9737498_9737554_9741094_9741256	0.16	0.23	0.08	0.07	0.04	0.06	0.07	0.06	0.24	0.25	0.08	0.09	0.03	0.05	0.12	0.13
chr1_-_18875382_18875503_18876315_18876467_18877208_18877255	0.91	0.93	0.89	0.9	0.97	0.98	0.84	0.78	0.64	0.58	0.75	0.64	0.77	0.82	0.84	0.89
chr1_-_19139083_19139220_19140788_19140892_19141347_19141524	0.82	0.88	0.95	0.95	0.66	0.71	0.88	0.96	0.91	0.9	0.96	0.83	0.76	0.96	0.94	0.83
chr1_-_20779836_20779911_20780345_20780540_20787195_20787307	0.43	0.28	0.25	0.22	0.68	0.59	0.22	0.28	0.73	0.7	0.24	0.32	0.38	0.18	0.31	0.53
chr1_-_23321528_23321663_23323556_23323732_23333518_23333631	0.98	0.98	0.97	0.98	0.97	0.97	0.98	0.96	0.95	0.91	0.98	0.99	0.98	0.99	0.97	0.98
chr1_-_23323556_23323732_23333518_23333631_23337754_23337861	0.98	0.98	0.97	0.97	0.96	0.99	0.95	0.98	0.96	0.97	0.96	0.98	0.98	0.99	0.97	0.97
chr1_-_23338490_23338608_23340852_23341017_23344211_23344281	0.28	0.24	0.39	0.43	0.43	0.43	0.23	0.32	0.37	0.28	0.29	0.26	0.32	0.26	0.55	0.54
chr1_-_23338490_23338608_23340852_23341020_23344211_23344281	0.2	0.23	0.38	0.39	0.31	0.32	0.24	0.24	0.32	0.28	0.26	0.22	0.21	0.26	0.43	0.39
chr1_-_23417904_23418009_23419077_23419139_23424565_23424618	0.92	0.94	0.85	0.86	0.98	0.79	0.7	0.61	0.86	0.78	0.85	0.76	0.83	0.84	0.83	0.71
chr1_-_23796151_23796265_23796509_23796586_23796697_23796782	0.91	0.98	0.94	0.89	0.53	0.55	0.96	0.96	0.94	0.99	0.9	0.88	0.91	0.93	0.96	0.94
chr1_-_23798694_23798730_23798887_23799012_23799366_23799436	0.76	0.69	0.63	0.75	0.65	0.76	0.67	0.66	0.66	0.86	0.57	0.61	0.83	0.94	0.81	0.69
chr1_-_23967301_23967723_23971573_23971623_23971850_23972012	0.82	0.79	0.95	0.9	0.87	0.91	0.8	0.85	0.61	0.75	0.72	0.85	0.68	0.95	0.89	0.9
chr1_-_23967301_23967723_23971573_23971626_23971850_23972012	0.85	0.86	0.97	0.93	0.87	0.91	0.88	0.9	0.78	0.88	0.8	0.91	0.75	0.95	0.89	0.96
chr1_-_28017154_28017239_28027789_28027926_28035544_28035680	0.06	0.18	0.06	0.14	0.53	0.58	0.13	0.11	0.42	0.55	0.21	0.18	0.19	0.15	0.5	0.25
chr1_-_28228922_28229023_28230131_28230252_28232921_28233004	0.03	0.04	0.05	0.04	0.05	0	0.09	0.04	0.1	0.09	0.12	0.16	0.01	0.03	0.07	0.1
chr1_-_30974651_30974802_30980062_30980163_30981312_30981405	0.97	0.94	0.98	0.91	0.9	0.85	0.92	0.88	0.84	0.88	0.88	0.97	0.97	0.87	1	0.95
chr1_-_30974651_30974802_30980062_30980166_30981312_30981405	0.93	0.93	0.94	0.91	0.87	0.67	0.85	0.84	0.83	0.83	0.73	0.93	0.96	0.69	1	0.93
chr1_-_32633951_32634072_32634702_32634792_32650433_32650525	1	0.82	0.85	0.9	0.14	0.23	0.53	0.67	0.74	0.86	1	0.68	0.4	0.94	0.83	0.55
chr1_-_32633951_32634072_32634768_32634792_32650433_32650525	1	0.95	0.98	0.98	0.86	0.81	0.95	0.96	0.93	0.96	1	0.93	0.94	0.99	0.97	0.93
chr1_-_32633951_32634110_32634768_32634792_32650433_32650525	0.83	0.87	0.79	0.62	0.24	0.24	0.56	0.54	0.47	0.41	0.67	0.7	0.76	0.63	0.57	0.46
chr1_-_33014522_33014594_33021367_33021461_33021593_33021690	0.99	0.97	0.94	0.97	0.93	0.92	0.97	0.98	0.97	0.99	0.95	0.95	0.95	0.95	0.99	0.99
chr1_-_36361221_36361340_36367852_36368084_36385723_36385876	0.14	0.07	0.21	0.09	0.27	0.3	0.14	0.13	0.09	0.09	0.09	0.16	0.3	0.14	0.07	0.07
chr1_-_37495885_37495918_37496547_37496604_37501804_37501996	0.04	0.07	0.08	0.11	0.1	0.11	0.1	0.07	0.05	0.11	0.15	0.19	0.03	0.01	0.05	0.01
chr1_-_40074127_40074183_40076842_40076913_40078560_40078658	0.99	1	0.99	0.97	0.98	0.97	0.99	0.98	0.93	0.96	0.98	0.97	0.98	0.97	0.99	0.99
chr1_-_41037362_41037541_41041311_41041565_41046407_41046598	0.02	0.03	0.06	0.1	0.01	0	0.02	0.09	0	0	0.04	0.07	0.02	0.07	0.06	0.02
chr1_-_41070595_41070721_41075219_41075451_41113283_41113526	0.95	0.99	0.96	0.96	0.92	0.88	0.98	1	1	0.98	0.94	0.9	0.88	0.91	1	0.89
chr1_-_41142878_41143112_41151614_41151684_41159725_41159871	0.55	0.47	0.45	0.64	0.08	0.04	0.33	0.58	0.52	0.52	0.69	0.67	0.63	0.5	0.68	0.33
chr1_-_42199102_42199230_42205762_42205863_42227883_42227966	0.58	0.69	0.7	0.8	0.66	0.61	0.72	0.79	0.83	0.74	0.73	0.84	0.85	0.77	0.64	0.53
chr1_-_45660798_45661225_45685576_45685620_45686412_45686533	0.68	0.52	0.75	0.83	0.49	0.47	0.61	0.62	0.87	0.85	0.9	0.78	0.71	0.58	0.45	0.67
chr1_-_46558756_46558800_46560234_46560277_46561478_46561642	0.11	0.37	0.54	0.48	0.04	0.05	0.29	0.12	0.55	0.46	0.37	0.31	0.5	0.33	0.4	0.32
chr1_-_46652604_46652628_46653817_46653867_46658127_46658189	0.95	0.87	0.93	0.96	0.93	0.9	0.9	0.83	0.97	0.99	0.97	0.98	0.94	0.92	1	0.93
chr1_-_46686784_46686870_46688353_46688544_46689587_46689636	0.68	0.78	0.26	0.43	0.15	0.17	0.4	0.15	0.74	0.72	0.23	0.25	0.53	0.47	0.35	0.33
chr1_-_52446590_52446667_52458336_52458449_52461134_52461223	1	0.71	0.82	0.76	0.39	0.53	0.74	0.72	0.98	0.94	0.83	0.89	0.45	0.83	0.45	0.85
chr1_-_52896548_52896597_52897437_52897484_52899174_52899224	0.82	0.92	0.86	1	0.87	0.83	0.75	0.76	0.62	0.54	0.76	0.88	0.94	0.86	0.94	0.83
chr1_-_53228872_53228954_53233542_53233652_53235577_53235635	0.8	0.83	0.79	0.76	0.43	0.43	0.86	0.81	0.55	0.59	0.67	0.76	0.84	0.8	0.8	0.81
chr1_-_53888907_53888986_53889244_53889463_53889713_53889733	0.56	0.61	0.24	0.26	0.12	0	0.2	0.08	0.22	0.31	0.22	0.26	0.17	0.42	0.77	0.85
chr1_-_54251794_54251860_54257127_54257186_54281438_54281527	0.96	0.97	0.81	0.9	0.6	0.6	0.97	1	1	0.9	0.83	0.73	1	0.76	1	0.9
